,Small Component,Big Component,Small2 Component,Big2 Component,Score
515,consensus independent component 133_Melanoma,consensus independent component 6_big,consensus independent component 274_Breast cancer,consensus independent component 438_big,-0.04642198692496827
2554,consensus independent component 54_Gastric cancer,consensus independent component 1222_big,consensus independent component 233_Breast cancer,consensus independent component 161_big,-0.04649946922926261
2551,consensus independent component 54_Brain cancer,consensus independent component 2869_big,consensus independent component 57_Normal,consensus independent component 2869_big,-0.04658475740251533
429,consensus independent component 128_HNSCC,consensus independent component 3087_big,consensus independent component 47_Normal,consensus independent component 7_big,-0.04661266126598407
379,consensus independent component 124_Lymphoma,consensus independent component 2022_big,consensus independent component 177_Breast cancer,consensus independent component 336_big,-0.046638068212866965
2773,consensus independent component 62_HCC,consensus independent component 352_big,consensus independent component 1_Brain cancer,consensus independent component 96_big,-0.04676477906226632
1958,consensus independent component 34_Gastric cancer,consensus independent component 878_big,consensus independent component 129_Lung cancer,consensus independent component 1028_big,-0.04686369351871633
967,consensus independent component 169_Lung cancer,consensus independent component 1171_big,consensus independent component 162_Breast cancer,consensus independent component 1171_big,-0.046870221995667094
2947,consensus independent component 70_Sarcoma,consensus independent component 955_big,consensus independent component 299_Normal,consensus independent component 251_big,-0.04694860317677025
396,consensus independent component 125_Renal cancer,consensus independent component 2456_big,consensus independent component 3_Normal,consensus independent component 1751_big,-0.04695277730864264
2944,consensus independent component 70_Ovarian cancer,consensus independent component 45_big,consensus independent component 58_Lung cancer,consensus independent component 45_big,-0.047037116207147775
1942,consensus independent component 33_Renal cancer,consensus independent component 96_big,consensus independent component 1_Brain cancer,consensus independent component 96_big,-0.04729389224216346
3075,consensus independent component 78_Brain cancer,consensus independent component 469_big,consensus independent component 37_Normal,consensus independent component 469_big,-0.04736480966593959
893,consensus independent component 161_Colorectal cancer,consensus independent component 3190_big,consensus independent component 68_Normal,consensus independent component 3190_big,-0.047495120967286475
